City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,karratha,-20.7377,116.8463,85.44,50,{'all': 82},9.19,AU,1681225714
116,lebu,-37.6167,-73.65,61.88,82,{'all': 55},6.33,CL,1681225714
117,katsuura,35.1333,140.3,62.87,73,{'all': 99},26.26,JP,1681225714
118,mar del plata,-38.0023,-57.5575,76.82,74,{'all': 0},17.27,AR,1681225715
119,saskylakh,71.9167,114.0833,-12.75,99,{'all': 45},5.5,RU,1681225716
120,zeya,53.75,127.2667,31.12,90,{'all': 100},5.37,RU,1681225717
121,ondjiva,-17.0667,15.7333,92.82,17,{'all': 7},7.49,AO,1681225717
122,castro,-24.7911,-50.0119,71.64,53,{'all': 5},4.43,BR,1681225718
123,cabo san lucas,22.8909,-109.9124,82.71,30,{'all': 20},8.05,MX,1681225546
124,labrea,-7.2586,-64.7981,86.61,68,{'all': 72},0.45,BR,1681225718
125,marsa matruh,31.3525,27.2453,61.65,56,{'all': 28},16.31,EG,1681225718
126,hamilton,39.1834,-84.5333,68.67,40,{'all': 0},9.22,US,1681225719
127,coruripe,-10.1256,-36.1756,84.81,56,{'all': 100},9.71,BR,1681225719
128,sioux lookout,50.1001,-91.917,43.83,79,{'all': 99},2.57,CA,1681225719
129,awbari,26.5921,12.7805,79.05,11,{'all': 40},13.65,LY,1681225719
130,sitka,57.0531,-135.33,33.69,80,{'all': 40},0.0,US,1681225720
131,port-cartier,50.0334,-66.8654,45.75,72,{'all': 64},6.44,CA,1681225720
132,mayo,38.8876,-76.5119,67.35,42,{'all': 0},4.61,US,1681225720
133,kamenka,51.3223,42.7678,57.0,35,{'all': 91},7.85,RU,1681225720
134,alta floresta,-9.8756,-56.0861,82.22,83,{'all': 40},3.44,BR,1681225500
135,anori,-3.7728,-61.6442,89.26,56,{'all': 98},3.09,BR,1681225721
136,san patricio,28.017,-97.5169,69.75,75,{'all': 0},10.76,US,1681225721
137,butka,56.7179,63.7866,37.92,52,{'all': 56},5.5,RU,1681225721
138,nikolskoye,59.7035,30.7861,58.89,69,{'all': 100},4.34,RU,1681225722
139,pozo colorado,-23.4923,-58.7972,87.17,51,{'all': 1},9.01,PY,1681225722
140,koslan,63.4564,48.8989,33.76,94,{'all': 100},7.09,RU,1681225722
141,khatanga,71.9667,102.5,7.95,79,{'all': 100},18.03,RU,1681225722
142,sao luis de montes belos,-16.525,-50.3722,84.0,57,{'all': 37},3.94,BR,1681225723
143,sidney,-33.8679,151.2073,59.63,79,{'all': 0},8.05,AU,1681225500
144,pangnirtung,66.1451,-65.7125,17.02,65,{'all': 17},0.25,CA,1681225723
